緯度,経度,拠点名称,地震リスク(6強以上),液状化,津波,最大風速,河川氾濫,高潮,土砂災害,火山降灰,雷害リスク
33.90393174,130.8783394,山九日明,-,-,-,-,-,リスクあり,-,-,-
34.65114757,135.1701076,（株）築港　遠矢浜倉庫,リスクあり,-,-,リスクあり,-,-,-,-,-
34.93132768,135.1612393,新興化成（株）テクノ工場,-,-,-,-,-,-,-,-,-
37.63084124,140.4858309,和喜輸送,-,-,-,-,-,-,-,-,-
33.90402079,130.8782751,山九日明,-,-,-,-,-,リスクあり,-,-,-
35.67842486,136.0879752,楠原輸送（株）,-,-,-,-,-,-,リスクあり,-,-
36.77311585,137.0341019,三和運輸物流センター,-,-,-,-,リスクあり,-,-,-,-
36.73175126,136.9395515,三和倉庫赤丸,-,-,-,-,-,-,-,-,リスクあり
36.75914388,137.0056517,日通高岡,-,-,-,-,リスクあり,-,-,-,-
36.77896667,137.0481431,荻布倉庫,-,-,-,-,リスクあり,-,-,リスクあり,-
34.69248064,135.6319329,三和倉庫　大東事業所,リスクあり,-,-,-,-,-,-,リスクあり,リスクあり
34.66097079,135.418929,東洋埠頭大阪,リスクあり,リスクあり,リスクあり,リスクあり,-,リスクあり,-,-,-
34.52798591,135.3960808,山九泉北,リスクあり,-,-,-,-,リスクあり,-,-,-
34.5833731,135.5639794,MSR,-,-,-,-,-,-,-,-,リスクあり
35.50229146,139.7576254,センコー株式会社,リスクあり,リスクあり,-,リスクあり,-,-,-,リスクあり,-
35.9806109,139.8665615,石田運送,リスクあり,-,-,-,リスクあり,-,-,-,-
35.6748494,139.936843,東洋合成,リスクあり,-,-,リスクあり,-,リスクあり,-,-,-
35.15410028,138.6912782,山九富士倉庫(日本製紙物流)　,リスクあり,-,-,-,リスクあり,-,-,リスクあり,-
34.75439523,137.9034147,平和みらい（ダイセー倉庫）,リスクあり,-,-,-,リスクあり,-,-,-,-
35.33960167,139.3618611,丸全平塚,リスクあり,リスクあり,-,-,リスクあり,-,-,-,-
35.53201346,139.7736372,日新倉庫,リスクあり,リスクあり,-,リスクあり,-,-,-,リスクあり,-
35.4990978,139.7097418,三和川崎,リスクあり,-,-,-,-,-,-,リスクあり,-
35.4979292,139.7085252,東材白石倉庫,リスクあり,-,-,-,-,-,-,リスクあり,-
35.49443185,139.762439,東洋埠頭川崎,リスクあり,リスクあり,-,リスクあり,-,-,-,リスクあり,-
35.51787752,139.7628027,丸全川崎,リスクあり,リスクあり,ややリスクあり,リスクあり,-,-,-,リスクあり,-
35.51028744,139.5526673,三和横浜,リスクあり,-,-,-,-,-,-,リスクあり,リスクあり
35.44680028,139.6448244,（株）住友倉庫,リスクあり,-,-,-,-,-,-,リスクあり,リスクあり
31.46274945,131.0915477,日本梱包志布志,-,リスクあり,リスクあり,-,-,-,-,-,-
35.05208972,136.0224427,ﾗｲﾄｹﾐｶﾙ工業,-,-,,-,-,-,-,-,-
35.68549063,139.9598899,丸善,リスクあり,-,-,-,-,リスクあり,-,-,-
34.05930064,131.7456366,山九南陽,-,リスクあり,-,-,-,-,-,-,-
34.06502272,131.7813116,丸新徳山,-,リスクあり,リスクあり,-,-,-,-,-,-
34.06349569,131.7774949,日通周南,-,-,ややリスクあり,-,-,-,-,-,-
34.05189351,131.7961763,丸新２号（海陸ＨＰ－Ｂ）,-,-,-,-,-,-,-,-,-
34.04171223,131.8481277,山九周南,-,-,-,-,-,-,-,-,-
34.07069542,131.7492656,日通平野,-,-,-,-,-,-,-,-,-
34.0235346,131.8208681,山九徳山,-,-,-,-,-,-,-,-,-
34.02704005,131.9130053,山九葉山トナー,-,-,-,-,-,-,-,-,-
33.98466012,131.8811956,山九下松港,-,-,-,-,-,-,-,-,-
